题目,选项A,选项B,选项C,选项D,答案
14. What is the purpose of a piece-of-furniture character?,To add depth to the story,To provide comic relief,To serve a functional role in the plot,To symbolize certain virtues or vices,C
15. What does the term “dynamic” imply about a character?,They are predictable and consistent,They are complex and changeable,They are two-dimensional,They are incapable of growth,B
1. What is the difference between a first-person and third-person point of view?,The first-person point of view is more limited.,The third-person point of view is always omniscient.,The first-person point of view can be more objective.,The third-person point of view is always more reliable.,A
2. What kind of narrator is not fully understanding the events in the story?,An omniscient narrator,A limited narrator,A naive narrator,A reliable narrator,C
3. What is the main characteristic of the objective point of view?,It provides a broad perspective of the story.,It allows access to all characters’ thoughts.,It records only observable details without commentary.,It is limited to a single character’s perspective.,C
4. Which point of view is employed when the narrator addresses the reader or characters as “you”?,First-person,Second-person,Third-person,Omniscient,B
"5. What is the author’s attitude toward the characters, topic, or readers expressed through the narrator?",Theme,Mood,Tone,Style,C
6. How is tone typically achieved in writing?,Through plot development,Through character actions,Through descriptive details and direct comments,Through narrative structure,C
7. What is the main difference between mood and tone?,"Mood is the atmosphere of the work, while tone is the author’s attitude.","Tone is the atmosphere of the work, while mood is the author’s attitude.",Mood and tone are the same thing.,"Mood is created by the setting, while tone is created by the characters.",A
"8. In “The Egg,” what is the tone of the narrator’s description of the father’s determination and the child’s gloomy childhood?",Serious and introspective,Ironic and playful,Gently amused and sympathetic,Condescending and formal,C
9. What does the reader have to determine when dealing with a first-person narrator?,The reader’s own perspective,The narrator’s level of knowledge,The narrator’s reliability,The author’s intention,C
10. What is the role of the narrator in fiction?,To create the plot,To develop the characters,To tell the story from a specific point of view,To provide commentary on the events,C
11. Which point of view allows the narrator to have a broader perspective and access to multiple characters’ thoughts?,First-person,Third-person omniscient,Third-person limited,Second-person,B
12. Which of the following is a characteristic of the third-person omniscient point of view?,The narrator is a central figure in the story,The narrator has access to all or most of the characters' unspoken thoughts,The narrator is only aware of what is happening to one character,The narrator provides commentary on the events,B
13. What is the main purpose of using different points of view in a story?,To confuse the reader,To provide a more comprehensive understanding of the story,To limit the reader’s perspective,To focus solely on the protagonist,B
14. In which century did the second-person point of view mainly become popular?,Nineteenth,Twentieth,Eighteenth,Seventeenth,B
15. What is the main factor that influences the reader’s response to a story?,The setting of the story,The point of view,The length of the story,The author’s writing style,B
1. What is the theme of a literary work?,The main character,The central idea or lesson,The plot summary,The setting of the story,B
2. What is a motif in literature?,The main idea,A recurrent concept or pattern,The central argument,The plot of the story,B
3. What is the main difference between the theme and the subject of a story?,"The theme is explicit, while the subject is implicit.","The subject is abstract, while the theme is concrete.","The theme is abstract, while the subject is concrete.","The theme is the central argument, while the subject is the main idea.",C
4. What is the first step in identifying the theme of a story?,Look at the title,Write down examples from the story,Organize thoughts about the central topic,Read the plot summary,A
5. What is the second step in identifying the theme of a story?,Identify the central argument,Organize thoughts and write down examples from the story,Summarize the plot,Discuss the setting,B
6. What is the theme of The Old Man and the Sea according to the text?,Fishing,Courage and endurance,The struggle against nature,All of the above,D
"7. What does the theme statement “Despite extraordinary courage and endurance, human beings often lose their struggle against more powerful natural forces” imply?",Optimism,Pessimism,Realism,Cynicism,B
8. What is the relationship between man and nature in the theme of The Old Man and the Sea?,Man conquers nature,Man is at peace with nature,Man is at war with nature,Man is indifferent to nature,C
9. What is the final theme statement for The Old Man and the Sea according to the text?,"Despite extraordinary courage and endurance, human beings often lose their struggle against more powerful natural forces.",Human beings always win against nature.,The struggle against nature is futile.,"Despite loss, humans can regain their pride and dignity through courage and endurance.",D
10. What are some familiar thematic concerns in literature?,Man and technology,Man and nature,Man and society,All of the above,D
11. What is the theme of individuals in society?,The harmony between society and man,The conflicts between society and man’s inner nature,The dominance of society over man,Man’s complete acceptance of society,B
12. What is the theme of an individual’s relation to the gods?,The gods always punish humans,The gods are always indifferent to humans,The gods reward or mock humans,The gods are against humans,C
13. What is the theme of human relations in literature?,Betrayal and conflict,Support and sacrifice,Indifference and separation,Competition and rivalry,B
14. What are common thematic concerns about time and death in literature?,The anxiety with the passage of time,The enjoyment of life policy,Death as the ultimate absurd joke,All of the above,D
15. What is the first clue to the nature of a theme statement?,It is presented in a complete sentence,It is content that is indisputable,It is a statement about the plot,It is a statement about the subject,A
1. What is style concerned with in writing?,The content of the message,The manner of expression,The psychological profile of the reader,The emotional state of the writer,B
2. Who stated that “The style is the man himself”?,Jonathan Swift,Georges de Buffon,John Milton,Charles Dickens,B
3. What does Jonathan Swift believe constitutes the true definition of style?,The writer’s personality,The arrangement of words,The choice of literary devices,Proper words in proper places,D
4. Which element of style refers to the writer’s choice of words?,Tone,Diction,Imagery,Syntax,B
5. What is the emotional coloring or meaning of a work called?,Diction,Imagery,Tone,Syntax,C
6. What is the pattern or arrangement of words and phrases in a sentence known as?,Diction,Imagery,Syntax,Style,C
7. What type of style is characterized by periodic sentences and Latinate language?,Familiar style,Formal style,Conversational style,Stream-of-consciousness style,B
"8. What type of style is known for its plain, straightforward, and concrete language?",Formal style,Familiar style,Abstract style,Conversational style,B
9. What is the difference between formal and familiar styles?,The level of complexity in vocabulary,The arrangement of sentence structure,The use of imagery,The type of audience,A
10. What are some characteristics of the familiar style?,Complex vocabulary and rigorous grammar,Simple vocabulary and less rigorous grammar,Use of metaphor and comparison,Periodic and loose sentences,B
11. What type of sentence structure is primarily used in “The Egg”?,Interrogative sentences,Declarative sentences,Fragment sentences,Inverted sentences,B
"12. In “Rape Fantasies,” what type of language does the author use to mimic conversations?",Complex vocabulary,"Plain, everyday words",Latinate language,Formal language,B
13. What is the narrative structure of “A Rose for Emily” by Faulkner?,Chronological,Non-linear,Fragmented,Linear,B
14. What is the difference between the formal and familiar styles in terms of vocabulary?,Formal style uses simple vocabulary,Familiar style uses complex vocabulary,Both styles use the same level of vocabulary,Formal style uses multisyllabic words,D
15. What element of style can make ideas vivid and stir the reader’s emotions?,Tone,Diction,Imagery,Syntax,C
1. What is the primary concern of poetry?,Storytelling,Emotional expression,Experience,Information communication,C
2. Which of the following is not a characteristic of poetry?,Rhyme,Alliteration,Meter,Prose structure,D
3. What type of poetry focuses on story and action?,Lyric,Narrative,Dramatic,Epic,B
4. Which poet is known for their contribution to the Romantic Movement?,William Wordsworth,John Milton,T.S. Eliot,Alexander Pope,A
5. What is the typical structure of an Italian sonnet?,Three quatrains and a couplet,Eight-line octave and a six-line sestet,Four-line stanzas,Free verse,B
"6. Which of the following is a form of narrative in which people, places, and happenings have hidden or symbolic meanings?",Metaphor,Symbolism,Allegory,Imagery,C
7. What does the term “diction” in poetry refer to?,The choice of words,The arrangement of words,The sound of words,The meaning of words,A
8. Which of the following is not a basic element of a poem?,Voice,Situation,Syntax,Plot,D
9. What is the difference between a symbol and a metaphor?,"A symbol can function literally and figuratively, while a metaphor cannot.","A metaphor is a comparison, while a symbol is not.",A symbol is more abstract than a metaphor.,A metaphor is more complex than a symbol.,A
10. What is the best way to read a poem according to the text?,Quickly and for the main idea,"Slowly, carefully, and attentively",Out loud to appreciate the rhythm,Silently to focus on the words,B
11. What is the purpose of reading a poem aloud or hearing someone else read it?,To appreciate the poem’s rhythm,To understand the poem’s structure,To discover meanings that were not perceived before,To memorize the poem,C
12. How many themes can a poem have?,Only one theme,Two themes,Multiple themes,No theme,C
13. What is the most important element in a poem?,The speaker,The imagery,The theme,The structure,C
14. What is the relationship between the speaker and the poet in a poem?,They are the same person.,The speaker is a character created by the poet.,The speaker is always the poet’s own voice.,The speaker is a historical figure.,B
15. What is the main purpose of using myth and allusion in a poem?,To provide historical context,To suggest more than what is explicitly stated,To add complexity to the poem,To make the poem more interesting,B
1. What is the main difference between the speaker and the poet in a poem?,The speaker is always the poet’s own voice.,The speaker is a created persona or character.,The speaker is a historical figure.,The speaker is the same as the poet’s public persona.,B
"2. In “My Papa’s Waltz,” what is the relationship between the speaker and the subject of the poem?",The speaker is the poet himself.,The speaker is an adult remembering his childhood.,The speaker is the poet’s father.,The speaker is a character unrelated to the poet.,B
3. Which of the following is NOT a way that poets create distinct speakers in their poems?,By using different voices.,By giving them unique personalities.,By having them express similar ideas to the poet’s own.,By allowing them to have free conversations.,C
4. What is the main purpose of creating unattractive or unreliable speakers in poetry?,To make the poem more entertaining.,To invite readers to ponder the speakers’ words.,To make the poem more relatable.,To criticize the speaker’s behavior.,B
"5. In “Soliloquy of the Spanish Cloister,” what is the discrepancy between the speaker’s role and his character?",The speaker is a monk but acts like a saint.,The speaker is a monk but is unspiritual.,The speaker is a saint but acts like a monk.,The speaker is a monk and is very spiritual.,B
6. What aspect of a poem does the tone help to convey?,The story’s setting.,The poet’s attitude.,The poem’s rhyme scheme.,The speaker’s age.,B
7. What is the main characteristic of an ironic tone?,It shows agreement between what is said and what is meant.,It implies a discrepancy or opposition between what is said and what is meant.,It is used to express affection.,It is used to describe the setting.,B
8. What is the main message of Wilfred Owen’s “Dulce et Decorum Est”?,War is sweet and right.,War is glorious and honorable.,The saying “Dulce et Decorum Est” is false.,Death in battle is a noble act.,C
9. What is the best way to perceive the tone of a poem?,By skimming the poem quickly.,By reading the poem carefully and paying attention to its suggestions.,By ignoring the poem’s details.,By assuming the tone is the same as the poet’s personal feelings.,B
10. What is the relationship between the tone of a poem and the speaker’s feelings about themselves?,The tone is unrelated to the speaker’s self-perception.,The tone directly states the speaker’s feelings about themselves.,The tone can suggest the speaker’s feelings about themselves.,The tone is always the opposite of the speaker’s self-perception.,C
11. What does the tone of a poem reveal about the poet’s attitude toward the theme or subject?,The tone is always neutral.,"The tone can reveal affection, hostility, playfulness, or sarcasm.",The tone only shows the poet’s personal feelings.,The tone is only related to the speaker’s character.,B
12. How does the tone of a poem differ from the tone of voice in everyday communication?,The tone of a poem is always more complex.,The tone of a poem is easier to identify.,The tone of a poem relies on visual and auditory cues.,The tone of a poem is conveyed through written language.,D.
13. What is the first step in identifying the tone of a poem?,Look for the poet’s name.,Identify the speaker’s character.,Analyze the poem’s rhyme scheme.,Read the poem out loud.,B
14. What is the role of imagery and figurative language in conveying the tone of a poem?,They have no impact on the tone.,They only add to the poem’s visual appeal.,They help to create a vivid picture of the setting.,They contribute to the emotional meaning of the work.,D
15. How does the tone of a poem contribute to its full meaning?,The tone is separate from the poem’s meaning.,The tone adds an emotional layer to the poem’s meaning.,The tone is only important for understanding the speaker’s character.,The tone is only relevant for analyzing the poem’s structure.,B
1. What is the most important aspect of word choice in a poem?,The beauty of the words,The precision of the words,The meaningfulness of the words,The nobility of the words,C
2. What are the three component parts of an average word?,"Sound, denotation, and metaphor","Sound, connotation, and rhythm","Denotation, connotation, and syntax","Sound, denotation, and connotation",D
3. What does the word ‘spring’ suggest beyond its dictionary meaning?,"Energy, hope, and vitality",The first season of the year,The act of jumping up,Water coming up from the ground,A
4. What does the word ‘skeleton’ denote?,The bony framework of a vertebrate,"War, disease, and death",A medical school,A terminal illness,A
5. What does the word ‘terminal’ imply in “At the San Francisco Airport”?,Only the airport building,A boundary and an extremity,A place to catch flights,A place to buy tickets,B
6. What does Romeo mean when he calls Juliet the sun?,She is the center of his world,She is a celestial body,She is hot-tempered,She is a source of light,A
7. What does the word ‘frigate’ suggest in Emily Dickinson’s poem?,A type of ship,Exploration and adventure,A page of poetry,A mode of transportation,B
8. What is the main purpose of using the word ‘chariot’ in Dickinson’s poem?,To suggest a fast vehicle,To suggest a means of transport for the soul,To suggest a racehorse,To suggest a luxurious car,B
9. What does the word ‘coursers’ suggest in the poem?,"Beauty, spirit, and speed",A type of horse,A page of poetry,A means of transportation,A
10. What does the ambiguity of words represent for practical writers?,A resource,An obstacle,A challenge,An advantage,B
11. What kind of language do poets demand?,A unidimensional language,A multidimensional language,A language with single meanings,A language with complex syntax,B
12. What do poets add to the dimension of denotation in their vocabulary?,The dimension of syntax,The dimension of sound,The dimension of rhythm,The dimension of connotation,D
13. What is necessary for readers to develop when reading poetry?,A sense of rhythm,A sense of language,A sense of plot,A sense of character,B
14. What is the most successful word choice in a poem?,The most beautiful words,The most meaningful words,The most complex words,The most precise words,B
15. What is the main reason poets use words with multiple meanings?,To confuse the reader,To say more in fewer words,To make the poem longer,To demonstrate their vocabulary,B
1. What is the primary purpose of imagery in poetry?,To state feelings and ideas outright,To provide a vivid representation of sense experience,To list objects and settings,To describe the poet’s personal experiences,B
2. Which type of imagery is most frequently employed in poetry?,Auditory imagery,Visual imagery,Tactile imagery,Olfactory imagery,B
3. What does the poet avoid in Browning’s “Meeting at Night”?,Imagery,The word ‘love’,Abstract words,Long sentences,B
4. What is the main focus of the haiku “The Piercing Chill I Feel”?,The speaker’s feelings toward a specific death,The speaker’s feelings toward death in general,A detailed description of the bedroom,A discussion of the weather,B
5. What sense does the warm sea-scented beach in “Meeting at Night” appeal to?,Taste,Smell,Sight,Hearing,B
6. What is the main purpose of using imagery in Taniguchi Buson’s haiku?,To provide a detailed narrative,To evoke a physical sense of death,To describe the widower’s daily life,To list the items in the bedroom,B
7. What is the effect of using imagery in poetry?,To make the poem more abstract,To make the poem more personal,To make the poem more vivid and sensory,To make the poem more complex,C
8. What is the role of imagery in conveying the theme of Browning’s poem?,It states the theme directly,It provides a backdrop for the theme,It indirectly conveys the theme through sense impressions,It contrasts with the theme,C
9. How does the imagery in “The Piercing Chill I Feel” make the reader feel?,The reader is told how to feel,The reader is left to imagine the scene,The reader experiences the sensation of death,The reader understands the speaker’s emotions intellectually,C
10. What is the function of the imagery of the lighted match in “Meeting at Night”?,It provides a romantic setting,It symbolizes the end of the day,It conveys a sense of anticipation and excitement,It represents the passage of time,C
11. What is the relationship between the imagery and the reader in poetry?,The imagery instructs the reader on how to interpret the poem,The imagery allows the reader to experience the poem’s emotions and ideas,The imagery creates a barrier between the reader and the poem,The imagery requires the reader to have extensive knowledge of the poet’s life,B
12. What is the significance of the imagery in the first line of “Meeting at Night”?,It sets the scene for the entire poem,It describes the weather,It introduces the theme of love,It provides a metaphor for the lovers’ relationship,A
13. How does the imagery in poetry differ from that in ordinary language?,Poetry uses more abstract imagery,Poetry uses imagery to state information directly,Poetry uses more sensuous and full imagery,Poetry avoids the use of imagery,C
14. What is the effect of the imagery of the startled little waves in “Meeting at Night”?,It creates a sense of calm,It adds a touch of color to the scene,It conveys a sense of motion and excitement,It symbolizes the passage of time,C
15. What is the role of imagery in the poem “The Piercing Chill I Feel”?,It provides a detailed description of the widower’s life,It creates a vivid picture of the bedroom,It evokes a physical sensation associated with death,It serves as a metaphor for the speaker’s loneliness,C
1. What is the main purpose of using figures of speech in poetry?,To state abstract ideas,To create vivid and forceful images,To provide elaborate reasoning,To use simple language,B
2. Who defined metaphor as “an intuitive perception of the similarity in dissimilars”?,Robert Frost,John Donne,Aristotle,Andrew Marvell,C
3. What is implied in a metaphor?,The comparison is expressed by words like ‘like’ or ‘as’,The figurative term is substituted for or identified with the literal term,The comparison is made quickly and does not elaborate,The comparison is made between related things,B
4. Which figure of speech is an implied comparison in which the figurative term is always a human being?,Simile,Metaphor,Personification,Apostrophe,C
5. What is the difference between an apostrophe and personification?,An apostrophe makes a thing human while personification addresses it as if it could reply,Personification makes a thing human while an apostrophe addresses it as if it could reply,Both are the same figure of speech,An apostrophe is used for exaggeration while personification is for emphasis,B
6. What is the main characteristic of overstatement?,Saying less than what is meant,Saying more than what is meant,Saying the opposite of what is meant,Using simple language,B
7. Which of the following is an example of understatement?,“A rose-red city half as old as Time.”,“War is kind.”,"“My love is like a red, red rose.”",“His loss was like a gentle breeze.”,D
8. What is the main purpose of using verbal irony?,To state the truth,To emphasize the opposite of what is meant,To provide humor,To give life to the inanimate,B
"9. In metonymy, what is substituted for another thing closely associated with it?",A part of the thing,The whole of the thing,The name of the thing,A similar thing,C
10. What is the main difference between metonymy and synecdoche?,Metonymy uses a part for the whole while synecdoche uses the whole for the part,Metonymy uses the name of a thing while synecdoche uses a part of the thing,Metonymy uses the whole for the part while synecdoche uses a part for the whole,Metonymy and synecdoche are the same figure of speech,B
11. What is the main purpose of using a pun?,To provide a serious effect,To achieve a facetious effect,To state the truth,To give life to the inanimate,B
12. What is the main risk involved in the use of figurative language?,Lack of originality,Misinterpretation,Humor,Simplicity,B
13. Who is considered the “master of metaphor” according to Aristotle?,Robert Frost,John Donne,Shakespeare,Aristotle himself,B
14. What is the main characteristic of a paradox?,It makes sense from the beginning,It seems self-contradictory but makes sense on reflection,It is a simple statement,It is always used for humor,B
15. What is the main goal of interpreting figurative language in poetry?,To state the literal meaning,To understand the underlying meaning,To provide a humorous effect,To give life to the inanimate,B
1. What is the main way poets achieve musical quality in poetry?,By the choice of words,By rhythm,By the choice of sounds,Both B and C,D
2. What is the opposite of euphony in poetry?,Discord,Cacophony,Diction,Assonance,B
3. Which poetic device relates sound more closely to meaning?,Alliteration,Assonance,Onomatopoeia,Rhyme,C
4. What is the basic metrical unit in poetry?,The line,The foot,The syllable,The stress,B
5. What is the most common metrical foot in English poetry?,Trochaic,Anapestic,Iambic,Dactylic,C
6. What is the term for a rhyme of one-syllable words or stressed final syllables in words of more than one syllable?,Feminine rhyme,End rhyme,Internal rhyme,Masculine rhyme,D
"7. What is the term for a rhyme of two or more syllables, with stress on a syllable other than the last?",Slant rhyme,Consonance,Feminine rhyme,Near rhyme,C
8. What is the term for a pause in a line of poetry?,End stop,Run-on line,Caesura,Enjambment,C
9. What is the term for a line that ends with a full pause indicated by punctuation?,End-stopped line,Run-on line,Iambic line,Feminine line,A
10. What is the term for a line where pauses fall within the line rather than at the end?,End-stopped line,Run-on line,Enjambed line,Free verse line,B
11. What is the most frequently used line in English verse?,Trimeter,Tetrameter,Pentameter,Hexameter,C
12. What is the term for a greater amount of force given to one syllable in speaking than is given to another?,Rhythm,Stress,Meter,Alliteration,B
13. Which of the following is not a way to achieve musical quality in poetry?,The choice of sounds,Rhyme,Rhythm,The choice of subjects,D
14. What is the term for a line that does not follow a specific rhythmic pattern?,Blank verse,Free verse,End-stopped verse,Iambic verse,B
15. What is the term for a variation introduced into a poem to stress or avoid monotony?,Enjambment,Caesura,Refrain,Variation of accents,D
1. What is the origin of the word “drama”?,Latin “gerere”,Greek “dion”,Greek “dran”,French “drame”,C
2. Who is the first known theorist of drama?,Plato,Aristotle,Sophocles,Euripides,B
3. What is considered the “soul of tragedy” according to Aristotle?,Character,Plot,Language,Thought,B
"4. In the play Oedipus the King, what does Oedipus ultimately discover about himself?",His talent for solving mysteries,His tragic flaws,His own guilt,His nobility,C
5. What type of drama mixes elements of both tragedy and comedy?,Satire,Tragicomedy,Absurdist theater,Morality play,B
6. Which playwright is known for creating the term “tragicomedy”?,Samuel Becket,G.B. Tennyson,Titus Maccius Plautus,Eric Bentley,C
7. What is the main focus of postmodern drama?,Plot,Character,Language,Spectacle,B
"8. What aspect of drama is conveyed through the actor’s presence, sounds, lighting effects, movement, silences, stage properties, and film projections or images?",Plot,Character,Language,Conflict,C
9. Which play by Susan Glaspell indicates the marginalization of women by masculine discourse?,A Doll’s House,Trifles,The Glass Menagerie,The Importance of Being Earnest,B
10. During which era did the theater primarily produce plays that mirrored the reality of the middle class?,The Restoration,The Elizabethan era,The Romantic Movement,The eighteenth century,D
11. Who is considered a representative of the realistic movement in theater?,George Bernard Shaw,Bertolt Brecht,Eugene Ionesco,Samuel Becket,A
12. What theatrical theory emphasizes the audience maintaining a sense of critical detachment?,The “fourth wall” concept,“Alienation effect”,Absurdist theater,Expressionism,B
"13. Which movement in theater is characterized by illogic, anarchy, and absurdity?",Realism,Expressionism,Theater of the Absurd,Postmodern drama,C
14. In what century did the Romantic Movement take place?,16th,17th,18th,19th,C
15. What type of drama was especially loved by the working class due to its raw emotion?,Realism,Melodrama,Tragicomedy,Expressionism,B
